,Unnamed: 0,index,ID,duration,start_seg,end_seg,wav,wav_format,wav_opts,spk_id,spk_id_format,spk_id_opts,wrd,wrd_format,wrd_opts,char,char_format,char_opts
3,76,98126,EllenJorgensen_2012G_505.31_514.3,8.99,505.31,514.3,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,, you can analyze your genome for mutations  you can analyze your breakfast cereal for gmo 's and you can explore your ancestry ,string,,_ y o u _ c a n _ a n a l y z e _ y o u r _ g e n o m e _ f o r _ m u t a t i o n s _ _ y o u _ c a n _ a n a l y z e _ y o u r _ b r e a k f a s t _ c e r e a l _ f o r _ g m o _ ' s _ a n d _ y o u _ c a n _ e x p l o r e _ y o u r _ a n c e s t r y _,string,
4,36,98086,EllenJorgensen_2012G_250.03_254.94,4.91,250.03,254.94,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,we like to build things then we like to take things apart,string,,w e _ l i k e _ t o _ b u i l d _ t h i n g s _ t h e n _ w e _ l i k e _ t o _ t a k e _ t h i n g s _ a p a r t,string,
5,63,98113,EllenJorgensen_2012G_429.84_432.61,2.77,429.84,432.61,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,, study like that far outweighs the risk,string,,_ s t u d y _ l i k e _ t h a t _ f a r _ o u t w e i g h s _ t h e _ r i s k,string,
6,58,98108,EllenJorgensen_2012G_379.9_385.64,5.74,379.9,385.64,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,, middle of the sahara desert now it could happen  but i 'm not going to plan my life around it i 've,string,,_ m i d d l e _ o f _ t h e _ s a h a r a _ d e s e r t _ n o w _ i t _ c o u l d _ h a p p e n _ _ b u t _ i _ ' m _ n o t _ g o i n g _ t o _ p l a n _ m y _ l i f e _ a r o u n d _ i t _ i _ ' v e,string,
8,158,262916,EllenJorgensen_2016T_528.77_538.8,10.03,528.77,538.8,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,and i don 't like it that the flashier aspects of it are drowning all of this out  lots of scientists did a lot of work to make crispr happen ,string,,a n d _ i _ d o n _ ' t _ l i k e _ i t _ t h a t _ t h e _ f l a s h i e r _ a s p e c t s _ o f _ i t _ a r e _ d r o w n i n g _ a l l _ o f _ t h i s _ o u t _ _ l o t s _ o f _ s c i e n t i s t s _ d i d _ a _ l o t _ o f _ w o r k _ t o _ m a k e _ c r i s p r _ h a p p e n _,string,
9,153,262911,EllenJorgensen_2016T_498.62_504.97,6.35,498.62,504.97,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,but what is happening is that crispr is being used by thousands and thousands of scientists to,string,,b u t _ w h a t _ i s _ h a p p e n i n g _ i s _ t h a t _ c r i s p r _ i s _ b e i n g _ u s e d _ b y _ t h o u s a n d s _ a n d _ t h o u s a n d s _ o f _ s c i e n t i s t s _ t o,string,
10,40,98090,EllenJorgensen_2012G_278.91_283.07,4.16,278.91,283.07,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,, all the dark side stuff i 'm not going to minimize those concerns ,string,,_ a l l _ t h e _ d a r k _ s i d e _ s t u f f _ i _ ' m _ n o t _ g o i n g _ t o _ m i n i m i z e _ t h o s e _ c o n c e r n s _,string,
11,97,262855,EllenJorgensen_2016T_113.32_124.2,10.88,113.32,124.2,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,so the cas9 i love to anthropomorphize so the cas9 is kind of this pac man thing that wants to chew dna and the guide rna is the leash that 's keeping it,string,,s o _ t h e _ c a s 9 _ i _ l o v e _ t o _ a n t h r o p o m o r p h i z e _ s o _ t h e _ c a s 9 _ i s _ k i n d _ o f _ t h i s _ p a c _ m a n _ t h i n g _ t h a t _ w a n t s _ t o _ c h e w _ d n a _ a n d _ t h e _ g u i d e _ r n a _ i s _ t h e _ l e a s h _ t h a t _ ' s _ k e e p i n g _ i t,string,
13,66,98116,EllenJorgensen_2012G_444.57_449.72,5.15,444.57,449.72,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,so this stuff is just beginning we 're only seeing just the tip of the dna,string,,s o _ t h i s _ s t u f f _ i s _ j u s t _ b e g i n n i n g _ w e _ ' r e _ o n l y _ s e e i n g _ j u s t _ t h e _ t i p _ o f _ t h e _ d n a,string,
14,115,262873,EllenJorgensen_2016T_236.08_246.08,10.0,236.08,246.08,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,the way that we can hijack this is we can feed it a false piece of dna a piece that has homology on both ends but is different in the middle ,string,,t h e _ w a y _ t h a t _ w e _ c a n _ h i j a c k _ t h i s _ i s _ w e _ c a n _ f e e d _ i t _ a _ f a l s e _ p i e c e _ o f _ d n a _ a _ p i e c e _ t h a t _ h a s _ h o m o l o g y _ o n _ b o t h _ e n d s _ b u t _ i s _ d i f f e r e n t _ i n _ t h e _ m i d d l e _,string,
